PitchType,Ball,Hit,Strike,Undefined,Walk,PitcherId,BatterId,PitchNumber,RecommendedPitch
TwoSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
Slider,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
ChangeUp,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
Fastball,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
FourSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
Sinker,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
TwoSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
Slider,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
ChangeUp,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
Fastball,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
FourSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
Sinker,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
TwoSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
Slider,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
ChangeUp,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
Fastball,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
FourSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
Sinker,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
TwoSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
Slider,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
ChangeUp,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
Fastball,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
FourSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
Sinker,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
TwoSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
Slider,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
ChangeUp,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
Fastball,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
FourSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
Sinker,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
TwoSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
Slider,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
ChangeUp,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
Fastball,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
FourSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
Sinker,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
TwoSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
Slider,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
ChangeUp,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
Fastball,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
FourSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
Sinker,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
TwoSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
Slider,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
ChangeUp,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
