PitchNumber,CumulativeStrikePct,Ball,Hit,Strike,Undefined,Walk,CandidatePitchType,PitcherId,BatterId,BestStrikePotential
1,7.34,1.37,75.78,14.68,3.51,4.65,0.7214124153833273,1000066910.0,1000032366.0,0.6989457217909218
2,13.54,1.41,77.67,13.38,3.37,4.17,0.7214124153833273,1000066910.0,1000032366.0,0.6989457217909218
3,18.87,1.44,79.2,12.32,3.26,3.79,0.7214124153833273,1000066910.0,1000032366.0,0.6989457217909218
4,23.51,1.48,80.44,11.44,3.16,3.48,0.7214124153833273,1000066910.0,1000032366.0,0.6989457217909218
5,27.6,1.52,81.48,10.71,3.07,3.23,0.7214124153833273,1000066910.0,1000032366.0,0.6989457217909218
6,31.26,1.55,82.34,10.09,2.99,3.02,0.7214124153833273,1000066910.0,1000032366.0,0.6989457217909218
7,34.54,1.59,83.08,9.56,2.93,2.84,0.7214124153833273,1000066910.0,1000032366.0,0.6989457217909218
8,37.52,1.63,83.72,9.1,2.87,2.69,0.7214124153833273,1000066910.0,1000032366.0,0.6989457217909218
9,40.23,1.66,84.27,8.69,2.82,2.56,0.7214124153833273,1000066910.0,1000032366.0,0.6989457217909218
10,42.73,1.69,84.75,8.34,2.77,2.44,0.7214124153833273,1000066910.0,1000032366.0,0.6989457217909218
1,6.61,1.42,77.95,13.22,3.35,4.07,0.8158066848007647,1000066910.0,1000032366.0,0.6989457217909218
2,12.26,1.46,79.55,12.1,3.22,3.67,0.8158066848007647,1000066910.0,1000032366.0,0.6989457217909218
3,17.17,1.5,80.85,11.19,3.12,3.35,0.8158066848007647,1000066910.0,1000032366.0,0.6989457217909218
4,21.49,1.54,81.91,10.43,3.03,3.09,0.8158066848007647,1000066910.0,1000032366.0,0.6989457217909218
5,25.33,1.58,82.8,9.79,2.95,2.88,0.8158066848007647,1000066910.0,1000032366.0,0.6989457217909218
6,28.78,1.62,83.55,9.24,2.88,2.7,0.8158066848007647,1000066910.0,1000032366.0,0.6989457217909218
7,31.9,1.66,84.2,8.77,2.82,2.55,0.8158066848007647,1000066910.0,1000032366.0,0.6989457217909218
8,34.75,1.7,84.75,8.36,2.77,2.42,0.8158066848007647,1000066910.0,1000032366.0,0.6989457217909218
9,37.36,1.74,85.23,8.0,2.72,2.31,0.8158066848007647,1000066910.0,1000032366.0,0.6989457217909218
10,39.76,1.78,85.65,7.68,2.68,2.21,0.8158066848007647,1000066910.0,1000032366.0,0.6989457217909218
1,7.52,1.36,75.25,15.04,3.55,4.8,0.6989457217909218,1000066910.0,1000032366.0,0.6989457217909218
2,13.85,1.39,77.21,13.69,3.41,4.29,0.6989457217909218,1000066910.0,1000032366.0,0.6989457217909218
3,19.28,1.43,78.79,12.6,3.29,3.9,0.6989457217909218,1000066910.0,1000032366.0,0.6989457217909218
4,24.0,1.47,80.08,11.69,3.19,3.58,0.6989457217909218,1000066910.0,1000032366.0,0.6989457217909218
5,28.15,1.5,81.14,10.94,3.1,3.31,0.6989457217909218,1000066910.0,1000032366.0,0.6989457217909218
6,31.85,1.54,82.04,10.3,3.02,3.1,0.6989457217909218,1000066910.0,1000032366.0,0.6989457217909218
